,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone
,,,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million
,,Mar-09,Mar-10,Jul-10,Jul-10,Jul-10,Jul-10,Jul-10,Jul-10,Jul-10,Jul-10,Jul-10,Jul-10,Jul-11,Jul-11,Jul-11,Jul-11,Jul-11,Jul-11,Jul-11,Jul-11,Jul-11,Jul-11,Mar-06,Mar-06,Mar-06,Mar-06,Mar-06,Jun-06,Jun-06,Jun-06,Jun-06,Jun-06,Sep-06,Sep-06,Sep-06,Sep-06,Sep-06,Dec-06,Dec-06,Dec-06,Dec-06,Dec-06,Mar-07,Mar-07,Mar-07,Mar-07,Mar-07,Jun-07,Jun-07,Jun-07,Jun-07,Jun-07,Sep-07,Sep-07,Sep-07,Sep-07,Sep-07,Dec-07,Dec-07,Dec-07,Dec-07,Dec-07,Mar-08,Mar-08,Mar-08,Mar-08,Mar-08,Jun-08,Jun-08,Jun-08,Jun-08,Jun-08,Sep-08,Sep-08,Sep-08,Sep-08,Sep-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Jun-09,Jun-09,Jun-09,Jun-09,Jun-09,Sep-09,Sep-09,Sep-09,Sep-09,Sep-09,Dec-09,Dec-09,Dec-09,Dec-09,Dec-09,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Sep-10,Sep-10,Sep-10,Sep-10,Sep-10,Dec-10,Dec-10,Dec-10,Dec-10,Dec-10,Mar-11,Mar-11,Mar-11,Mar-11,Mar-11
Company Name,NIC code,total_assets,total_assets,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Average total assets,Net cash flow from operating activities,Research & development expenses,Advertising expenses,Net fixed assets,"Intangible assets, net",Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Average total assets,Net cash flow from operating activities,Research & development expenses,Advertising expenses,Net fixed assets,"Intangible assets, net",Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses,Total income,Net sales,Extra-ordinary income,Total expenses,Extra-ordinary expenses
3I Infotech Ltd.,62013,27428.2,29450.5,9508.8,10504.9,291.9,3339.7,28439.35,1948,406.1,,2298.5,1047.3,9177.8,7983.9,,20.7,31276.6,2337.3,399,,2178.3,972.6,717.5,693.7,9.4,584.3,1.6,825.7,782.3,2.6,703.5,0,841.7,801.2,0,704,0,943.6,785.5,88.8,863,0,959.7,954.8,0,805.7,0,1248,1188.1,22.7,1033.8,1.1,1268.9,1206.6,0,1036.8,0,1082.5,1028.4,0,885.5,0,1060.7,1049.6,0,699.4,0,1382.1,1368.7,0,1004.6,0,1607,1583.3,0,1049.4,0,1130.6,1091.4,0,860.4,0,2042.9,1229,775.4,1402.6,0,1517.9,1214.8,291.9,1037.5,13.2,1286.7,1263.1,1.8,1103.5,0,1320.8,1292.5,2.5,1089.4,109.2,1511.2,1429.5,-4.3,3402.3,-109.1,1336.1,1283.8,0,1127.2,0,1473.2,1349.9,99,1171.1,0,1489.9,1340.6,18.1,1151.4,0,1682.2,1528,64.4,1338,0
A B B India Ltd.,28199,56082.3,57812.2,66952.3,66417.7,,41.9,59087.55,2206.8,110.2,,7660.8,295.2,78176.8,77175.1,0,35.3,63634.1,1180.8,4,,11684,1381.6,8208.6,8029.1,0,8161.2,0,9895.2,9742.2,0,9163.8,0,10936,10705.6,0,10262.6,0,14437.3,14263.2,0,13016.8,0,13276.1,13124.4,,12506.9,,14156.3,14008.8,,13222.3,,13933.1,13874.5,,12782.1,,18648,18563.9,,17106.3,,15538.1,15486.4,0,14479.4,0,16376.3,16303.1,0,15256.4,0,15590.2,15562.7,0,15030.8,0,22170.1,21923.1,0,20171.9,0,14074.4,14060.5,0,13226.5,0,15258.7,15148.5,0,14280.9,0,14807.9,14689.3,20,14188.7,0,19125.4,19016.1,57.6,18458.7,0,14827,14752.4,56,14654.3,0,14685.5,14631,0,14237.7,0,13523.8,13489.8,0,13843,0,20746.1,20720.2,0,20514.3,0,18005,17930.5,0,17579.1,0
A B G Shipyard Ltd.,30111,42052.5,53942.3,19231.3,18399.9,51.9,29,47526.7,-2923.3,,,5997.8,23.7,21937.1,17305.6,10,1.5,64540,14872.6,,,9153.8,33.1,2024.9,1927.8,75,1459.4,3.1,1686.3,1657.1,0,1470.5,0,1681.5,1680,0,1414.4,0,1784.8,1775.8,0,1532.2,0,2059.7,1930.7,100,1873.4,7.5,2066.6,2033.4,0,1864.5,0,2119.8,2118.5,0,1940.3,0,2769.4,2749.6,0,2380,0,2816.5,2766.8,30,3480.7,4.1,2808.4,2722.4,7.5,4291.1,0,2805,2802,0,4194.1,17.1,4934.5,4889,0,5134.1,0,3806.9,3708.6,65,1939.7,7.1,3959.9,3931.1,0.4,3791,0,4092.4,4015.8,0,3517.9,0.2,5285,4928.2,0,4488.7,0,5742.9,5201.6,510.5,6451.2,51.4,4519.5,4494.5,0,2777.3,137.5,5560,5554.8,0,4440.4,74.3,5402.1,5401.8,0,4315.7,10.3,5436.8,5319.8,1.8,4753.6,0
A C C Ltd.,23942,86462.2,102436.9,90486.1,79842.5,,383.7,112412.1,19353.8,46.4,770,50824.4,37.9,111455.6,99132,0,94.4,122019.95,14738.9,55.8,1069,62075.3,12.7,13848.5,13424.3,14,10792.7,,16338.1,14688,1463.9,12343.9,,14003.7,13777.5,1.1,11348,,16931.9,16199,149.1,13149.2,,17361.6,16749.6,,13369.7,,19113.7,18678.2,,14998.5,,17375.3,17002.8,,14870.2,,20139.4,18394.9,2014.3,16435,,18987.5,18283.1,,14923.6,2.9,18664,18325.8,122.9,16487.7,,18489.9,18309.2,,16320.7,,20065.8,19565.9,,16351,,21059,20817,,16477.8,,21375.9,21198.6,,16567.8,,20202.4,20054.6,,16194,,20039.1,19838.8,,17657,,21627.1,21362.8,,17254.9,,20804.2,20621.6,,17698.2,,17180.9,16756.9,127.9,15619.9,,21950.5,20244.1,1464.5,20355.6,,24650.8,24083.1,152.3,21208.4,
Aban Offshore Ltd.,9101,46604.6,57131,13638.4,10834,,0.1,51867.8,7012.9,,,5617,,12673.2,10333.7,4.1,,56927.1,5625.1,,0.8,4798.9,,1239.5,1202.3,,1020,,1270.5,1238,,1079.7,,1443.2,1288.6,,1221.8,,1317.6,1261.5,,1109.7,,1535.6,1186.7,,1240.2,,1430.3,1276.1,,1146.5,,1873.9,1654.2,,1401.8,,1939.1,1694.3,,1461.4,,2083.5,1963.9,,1738,,2714.8,2469.5,,1999.7,,2901.5,2820.6,,2088.1,,2826.1,2616,,2267.4,,3053.2,2652.7,,2584.8,,3442.6,2899.1,,2647.6,,3266.2,2723.9,,2392.8,,3288.6,3003.2,,2552.6,,3641,3193.9,,3240.9,,3290.6,3108.1,,2580.2,,3287.9,3112.5,,2474.4,,2981.3,2811.7,,2406.1,,3113.4,2875.2,,2873,
Adani Enterprises Ltd.,46102,67058.2,80636.4,117750.8,114567.8,68.1,8.5,73847.3,6630,,19.3,1606.4,12.7,34628.1,34159.6,65.6,557.7,98569.35,-4074.6,,48.8,2381.4,292.8,32709.5,32562.3,147.2,30716.6,1.2,16917.2,16917.1,0,18743.9,1.2,24093.5,24087.1,0,23858.4,7.8,26278.8,26251.8,2.1,26032.3,0,34269.6,34260.7,0.4,31845.5,0,19437.7,19408.7,0.7,21101.8,4.5,25699.3,25690.9,0,24514.5,3,31905.4,31664.2,14.7,35241.3,6,39226,39190.6,6.9,37332.8,3.1,23959.3,23948,0,23266,2.6,31254.2,31152.3,49.6,29859.4,0.6,31768.6,31745,0.6,27287.1,2.4,29310.1,28905.2,10.2,27044.2,76.7,27589.3,27227.7,0,29106.3,0.2,31334.6,30778.7,148.8,31101.1,1.6,28403.5,28010.6,0,26394.3,42.6,30390.5,29830.8,10.8,27843.3,56.3,9338.7,8342.4,0,9795.7,14.1,8758.3,6466.8,0,7581.7,512.9,7185.3,6659.8,0.4,7859.4,0,9588.9,7799.5,325.7,9165.8,0
Adani Ports & Special Economic Zone Ltd.,52220,65245.8,80770.3,15643.3,8633.5,41.3,,73008.05,10350.5,,18.9,42099.3,633.3,20052.9,10191.3,329.1,,82938.25,12591.6,,21.5,53056.4,654,,,,,,,,,,,,,,,,,,,,,,,,,,1328.7,1238.3,77,1057.1,0,1613.8,1603.8,0,1186.7,0,2100,2053.5,0,1575.6,0,3495.6,3286.5,0,2584.6,0,2709.9,2537.3,0,1741.9,0,3037.8,2960,0,1915,0,3032.8,3008.9,0,2024.7,0,3127.6,2845.1,0,1615.7,0,3566.3,3067.7,0,1858.7,0,3373.4,3273.7,0,1625.5,0,3808.2,3378.4,0,2175.6,0,4895.4,4205.4,0,2973.7,221.7,4366.4,4156.5,0,2253.4,0,4229.9,4135.1,0,2113.2,0,4759.7,4508.5,0,2475,0,6478.7,6049.4,0,3131.4,0
