||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone
||||Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million
||Mar 2009|Mar 2010|Jul 2010|Jul 2010|Jul 2010|Jul 2010|Jul 2010|Jul 2010|Jul 2010|Jul 2010|Jul 2010|Jul 2010|Jul 2011|Jul 2011|Jul 2011|Jul 2011|Jul 2011|Jul 2011|Jul 2011|Jul 2011|Jul 2011|Jul 2011|Mar 2006|Mar 2006|Mar 2006|Mar 2006|Mar 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Sep 2006|Sep 2006|Sep 2006|Sep 2006|Sep 2006|Dec 2006|Dec 2006|Dec 2006|Dec 2006|Dec 2006|Mar 2007|Mar 2007|Mar 2007|Mar 2007|Mar 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Sep 2007|Sep 2007|Sep 2007|Sep 2007|Sep 2007|Dec 2007|Dec 2007|Dec 2007|Dec 2007|Dec 2007|Mar 2008|Mar 2008|Mar 2008|Mar 2008|Mar 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Sep 2008|Sep 2008|Sep 2008|Sep 2008|Sep 2008|Dec 2008|Dec 2008|Dec 2008|Dec 2008|Dec 2008|Mar 2009|Mar 2009|Mar 2009|Mar 2009|Mar 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Sep 2009|Sep 2009|Sep 2009|Sep 2009|Sep 2009|Dec 2009|Dec 2009|Dec 2009|Dec 2009|Dec 2009|Mar 2010|Mar 2010|Mar 2010|Mar 2010|Mar 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Sep 2010|Sep 2010|Sep 2010|Sep 2010|Sep 2010|Dec 2010|Dec 2010|Dec 2010|Dec 2010|Dec 2010|Mar 2011|Mar 2011|Mar 2011|Mar 2011|Mar 2011
Company Name|NIC code|total_assets|total_assets|Total income|Total expenses|Extra-ordinary income|Extra-ordinary expenses|Average total assets|Net cash flow from operating activities|Research & development expenses|Advertising expenses|Net fixed assets|Intangible assets, net|Total income|Total expenses|Extra-ordinary income|Extra-ordinary expenses|Average total assets|Net cash flow from operating activities|Research & development expenses|Advertising expenses|Net fixed assets|Intangible assets, net|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses|Total income|Net sales|Extra-ordinary income|Total expenses|Extra-ordinary expenses
3I Infotech Ltd.|62013|27428.20|29450.50|9508.80|10504.90|291.90|3339.70|28439.35|1948.00|406.10||2298.50|1047.30|9177.80|7983.90||20.70|31276.60|2337.30|399.00||2178.30|972.60|717.50|693.70|9.40|584.30|1.60|825.70|782.30|2.60|703.50|0.00|841.70|801.20|0.00|704.00|0.00|943.60|785.50|88.80|863.00|0.00|959.70|954.80|0.00|805.70|0.00|1248.00|1188.10|22.70|1033.80|1.10|1268.90|1206.60|0.00|1036.80|0.00|1082.50|1028.40|0.00|885.50|0.00|1060.70|1049.60|0.00|699.40|0.00|1382.10|1368.70|0.00|1004.60|0.00|1607.00|1583.30|0.00|1049.40|0.00|1130.60|1091.40|0.00|860.40|0.00|2042.90|1229.00|775.40|1402.60|0.00|1517.90|1214.80|291.90|1037.50|13.20|1286.70|1263.10|1.80|1103.50|0.00|1320.80|1292.50|2.50|1089.40|109.20|1511.20|1429.50|-4.30|3402.30|-109.10|1336.10|1283.80|0.00|1127.20|0.00|1473.20|1349.90|99.00|1171.10|0.00|1489.90|1340.60|18.10|1151.40|0.00|1682.20|1528.00|64.40|1338.00|0.00
A B B India Ltd.|28199|56082.30|57812.20|66952.30|66417.70||41.90|59087.55|2206.80|110.20||7660.80|295.20|78176.80|77175.10|0.00|35.30|63634.10|1180.80|4.00||11684.00|1381.60|8208.60|8029.10|0.00|8161.20|0.00|9895.20|9742.20|0.00|9163.80|0.00|10936.00|10705.60|0.00|10262.60|0.00|14437.30|14263.20|0.00|13016.80|0.00|13276.10|13124.40||12506.90||14156.30|14008.80||13222.30||13933.10|13874.50||12782.10||18648.00|18563.90||17106.30||15538.10|15486.40|0.00|14479.40|0.00|16376.30|16303.10|0.00|15256.40|0.00|15590.20|15562.70|0.00|15030.80|0.00|22170.10|21923.10|0.00|20171.90|0.00|14074.40|14060.50|0.00|13226.50|0.00|15258.70|15148.50|0.00|14280.90|0.00|14807.90|14689.30|20.00|14188.70|0.00|19125.40|19016.10|57.60|18458.70|0.00|14827.00|14752.40|56.00|14654.30|0.00|14685.50|14631.00|0.00|14237.70|0.00|13523.80|13489.80|0.00|13843.00|0.00|20746.10|20720.20|0.00|20514.30|0.00|18005.00|17930.50|0.00|17579.10|0.00
A B G Shipyard Ltd.|30111|42052.50|53942.30|19231.30|18399.90|51.90|29.00|47526.70|-2923.30|||5997.80|23.70|21937.10|17305.60|10.00|1.50|64540.00|14872.60|||9153.80|33.10|2024.90|1927.80|75.00|1459.40|3.10|1686.30|1657.10|0.00|1470.50|0.00|1681.50|1680.00|0.00|1414.40|0.00|1784.80|1775.80|0.00|1532.20|0.00|2059.70|1930.70|100.00|1873.40|7.50|2066.60|2033.40|0.00|1864.50|0.00|2119.80|2118.50|0.00|1940.30|0.00|2769.40|2749.60|0.00|2380.00|0.00|2816.50|2766.80|30.00|3480.70|4.10|2808.40|2722.40|7.50|4291.10|0.00|2805.00|2802.00|0.00|4194.10|17.10|4934.50|4889.00|0.00|5134.10|0.00|3806.90|3708.60|65.00|1939.70|7.10|3959.90|3931.10|0.40|3791.00|0.00|4092.40|4015.80|0.00|3517.90|0.20|5285.00|4928.20|0.00|4488.70|0.00|5742.90|5201.60|510.50|6451.20|51.40|4519.50|4494.50|0.00|2777.30|137.50|5560.00|5554.80|0.00|4440.40|74.30|5402.10|5401.80|0.00|4315.70|10.30|5436.80|5319.80|1.80|4753.60|0.00
A C C Ltd.|23942|86462.20|102436.90|90486.10|79842.50||383.70|112412.10|19353.80|46.40|770.00|50824.40|37.90|111455.60|99132.00|0.00|94.40|122019.95|14738.90|55.80|1069.00|62075.30|12.70|13848.50|13424.30|14.00|10792.70||16338.10|14688.00|1463.90|12343.90||14003.70|13777.50|1.10|11348.00||16931.90|16199.00|149.10|13149.20||17361.60|16749.60||13369.70||19113.70|18678.20||14998.50||17375.30|17002.80||14870.20||20139.40|18394.90|2014.30|16435.00||18987.50|18283.10||14923.60|2.90|18664.00|18325.80|122.90|16487.70||18489.90|18309.20||16320.70||20065.80|19565.90||16351.00||21059.00|20817.00||16477.80||21375.90|21198.60||16567.80||20202.40|20054.60||16194.00||20039.10|19838.80||17657.00||21627.10|21362.80||17254.90||20804.20|20621.60||17698.20||17180.90|16756.90|127.90|15619.90||21950.50|20244.10|1464.50|20355.60||24650.80|24083.10|152.30|21208.40|
Aban Offshore Ltd.|09101|46604.60|57131.00|13638.40|10834.00||0.10|51867.80|7012.90|||5617.00||12673.20|10333.70|4.10||56927.10|5625.10||0.80|4798.90||1239.50|1202.30||1020.00||1270.50|1238.00||1079.70||1443.20|1288.60||1221.80||1317.60|1261.50||1109.70||1535.60|1186.70||1240.20||1430.30|1276.10||1146.50||1873.90|1654.20||1401.80||1939.10|1694.30||1461.40||2083.50|1963.90||1738.00||2714.80|2469.50||1999.70||2901.50|2820.60||2088.10||2826.10|2616.00||2267.40||3053.20|2652.70||2584.80||3442.60|2899.10||2647.60||3266.20|2723.90||2392.80||3288.60|3003.20||2552.60||3641.00|3193.90||3240.90||3290.60|3108.10||2580.20||3287.90|3112.50||2474.40||2981.30|2811.70||2406.10||3113.40|2875.20||2873.00|
Adani Enterprises Ltd.|46102|67058.20|80636.40|117750.80|114567.80|68.10|8.50|73847.30|6630.00||19.30|1606.40|12.70|34628.10|34159.60|65.60|557.70|98569.35|-4074.60||48.80|2381.40|292.80|32709.50|32562.30|147.20|30716.60|1.20|16917.20|16917.10|0.00|18743.90|1.20|24093.50|24087.10|0.00|23858.40|7.80|26278.80|26251.80|2.10|26032.30|0.00|34269.60|34260.70|0.40|31845.50|0.00|19437.70|19408.70|0.70|21101.80|4.50|25699.30|25690.90|0.00|24514.50|3.00|31905.40|31664.20|14.70|35241.30|6.00|39226.00|39190.60|6.90|37332.80|3.10|23959.30|23948.00|0.00|23266.00|2.60|31254.20|31152.30|49.60|29859.40|0.60|31768.60|31745.00|0.60|27287.10|2.40|29310.10|28905.20|10.20|27044.20|76.70|27589.30|27227.70|0.00|29106.30|0.20|31334.60|30778.70|148.80|31101.10|1.60|28403.50|28010.60|0.00|26394.30|42.60|30390.50|29830.80|10.80|27843.30|56.30|9338.70|8342.40|0.00|9795.70|14.10|8758.30|6466.80|0.00|7581.70|512.90|7185.30|6659.80|0.40|7859.40|0.00|9588.90|7799.50|325.70|9165.80|0.00
Adani Ports & Special Economic Zone Ltd.|52220|65245.80|80770.30|15643.30|8633.50|41.30||73008.05|10350.50||18.90|42099.30|633.30|20052.90|10191.30|329.10||82938.25|12591.60||21.50|53056.40|654.00||||||||||||||||||||||||||1328.70|1238.30|77.00|1057.10|0.00|1613.80|1603.80|0.00|1186.70|0.00|2100.00|2053.50|0.00|1575.60|0.00|3495.60|3286.50|0.00|2584.60|0.00|2709.90|2537.30|0.00|1741.90|0.00|3037.80|2960.00|0.00|1915.00|0.00|3032.80|3008.90|0.00|2024.70|0.00|3127.60|2845.10|0.00|1615.70|0.00|3566.30|3067.70|0.00|1858.70|0.00|3373.40|3273.70|0.00|1625.50|0.00|3808.20|3378.40|0.00|2175.60|0.00|4895.40|4205.40|0.00|2973.70|221.70|4366.40|4156.50|0.00|2253.40|0.00|4229.90|4135.10|0.00|2113.20|0.00|4759.70|4508.50|0.00|2475.00|0.00|6478.70|6049.40|0.00|3131.40|0.00
